RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,tagNum,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6754,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,16.0295,31.4803,10.77284145,1.487954693,1.511311084,32.4135,31.3581,10.03044033,1.549269909,-0.240231514,-0.139264646,-0.502169606,-0.290271449,0.257466316,0.149255835,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6755,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,10.6361,26.2058,10.52179527,1.010863614,1.034517774,19.1084,17.1522,1.423630714,1.356250379,-0.06662178,-0.038621322,-9.031542776,-5.220544957,0.017706871,0.010264853,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6756,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,12.9559,28.4768,9.683195114,1.33797779,1.359187891,30.6136,29.3379,9.09904,1.45514556,-0.159258843,-0.13553944,-0.424896271,-0.360081586,0.5700617,0.48515888,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6757,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,15.1042,30.6086,10.96056175,1.378049806,1.393441235,32.5759,30.9951,10.3436108,1.46484777,-0.114686966,-0.097605928,-0.502263984,-0.425647444,0.5444069,0.463325014,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6758,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,15.7355,31.3705,11.66569519,1.348869462,1.366212415,33.5427,31.7547,10.9437046,1.45632163,-0.224567413,-0.191121203,-0.497423177,-0.421545065,0.400486,0.340839143,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6759,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,16.376,32.0052,12.07455826,1.356240092,1.379602905,33.4834,31.7045,10.6735869,1.47538151,-0.111794472,-0.095144231,-1.289176888,-1.092522786,0.4383373,0.373053043,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6760,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,14.2099,29.6052,11.56062126,1.229164046,1.251553833,31.125,29.3546,10.1757431,1.34690647,-0.314346314,-0.267528777,-1.070531846,-0.907230378,0.4228964,0.359911817,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6761,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,15.6102,30.6904,10.02821732,1.556627615,1.578853821,34.0922,32.0195,9.5382528,1.64418653,-0.098731041,-0.084026418,-0.391233479,-0.331553796,1.2610931,1.073270757,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6762,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,12.8288,28.2207,10.87164116,1.180024231,1.205792743,29.4808,27.6201,9.0643044,1.289824557,-0.146332741,-0.124538503,-1.661004019,-1.407630525,0.5824642,0.495714228,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6763,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,20.1213,35.4371,12.86089611,1.564533282,1.577455359,37.8916,36.4328,12.1618481,1.64850721,-0.062072754,-0.052827876,-0.636975256,-0.539809539,0.8536205,0.726485557,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6764,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,17.1958,32.5089,10.84404659,1.585736455,1.598742041,35.1163,33.1777,10.144372,1.6821805,-0.063961029,-0.054434918,-0.635713561,-0.538740306,0.555213,0.47252168,
PR,east,Fajardo,18.33696,-65.56462,19.8,PR_east_15b,BMU,NCRMP,6765,SUCCESSFULLY RECOVERED,5/19/2022,7/22/2023,1.18,O. faveolata,5x2x1,16.8457,32.4687,11.83171749,1.423774698,1.445106482,33.1148,32.3053,10.91918278,1.53092555,-0.184930801,-0.157387916,-0.727603909,-0.616613482,0.2628479,0.223700341,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6766,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,13.7894,29.1018,11.68704987,1.179887154,1.204869165,31.8612,30.0231,11.1542559,1.278829283,-0.191762924,-0.119025263,-0.341031046,-0.211820525,0.5445957,0.338024929,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6767,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,15.201,30.8693,11.53690624,1.317597602,1.337672376,33.0038,30.8544,10.4256821,1.41106517,-0.422235489,-0.2620772,-0.688988651,-0.427943261,0.4458904,0.276759575,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6768,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,16.4688,31.9892,11.97557831,1.375198723,1.400735266,33.7172,32.6124,11.5347776,1.44716354,-0.047678947,-0.029593829,-0.393121763,-0.244175008,0.3680763,0.228461167,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6769,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,15.7039,31.0615,11.03381825,1.423251648,1.438916284,32.5737,31.528,10.2910481,1.4947935,-0.074749947,-0.046396519,-0.668020203,-0.414919381,0.8017874,0.49766113,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6770,PLATE ONLY,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,17.3019,33.047,12.34256458,1.401807532,1.429950012,,,,,,,-12.34256458,-7.66618918,,,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6771,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,15.99,31.2331,10.96092224,1.458818852,1.490068323,32.9555,32.0337,10.4165583,1.53178682,-0.058253288,-0.036157213,-0.486110652,-0.301932082,0.5526466,0.343022051,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6772,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,14.9711,30.3477,10.83073425,1.382279322,1.413396875,33.1937,31.2789,9.9102774,1.47381562,-0.269439697,-0.167238433,-0.651017153,-0.40435848,1.0457354,0.649077119,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6773,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,15.7281,31.0745,10.71030521,1.468501568,1.494477673,33.745,32.382,10.1529722,1.54674085,-0.110635757,-0.06867047,-0.446697253,-0.27745171,0.9882374,0.613388719,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6774,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,16.5508,32.0978,11.14257431,1.485365907,1.514090149,34.2312,32.7355,10.453208,1.54302574,-0.161018372,-0.099942438,-0.528347938,-0.328166421,0.5692377,0.353319957,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,6775,SUCCESSFULLY RECOVERED,10/8/2021,5/18/2023,1.61,O. faveolata,5x2x1,12.6321,28.1176,12.10011005,1.043965711,1.081328265,29.3022,27.2842,10.7905226,1.137056043,-0.177712441,-0.110304273,-1.131875009,-0.703027956,0.3995676,0.248007478,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6776,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,14.043,29.2981,11.63815212,1.206634855,1.214292676,31.3003,29.868,11.1736879,1.296389949,-0.246179581,-0.16503659,-0.218284639,-0.146499758,0.3544035,0.237588936,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6777,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,12.418,24.4157,11.71262741,1.060223259,1.080376019,25.4334,24.4991,9.2919703,1.000594274,-0.321109772,-0.215269121,-2.099547338,-1.409092173,0.1823301,0.12223249,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6778,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,10.3735,25.7828,10.46641731,0.991122338,1.010758661,28.061,26.2741,9.8307638,1.108338736,-0.239553452,-0.160594493,-0.396100058,-0.265838965,0.3368683,0.225833488,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6779,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,12.6418,28.057,10.46129322,1.208435681,1.232768549,29.0654,28.2195,9.7180767,1.31699734,-0.079350472,-0.053195847,-0.663866048,-0.445547683,0.2711906,0.181803783,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6780,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,18.9262,34.6577,12.31728745,1.536555844,1.555411853,36.6604,35.2427,11.9204922,1.62266949,-0.099031448,-0.066389798,-0.297763802,-0.199841478,0.4237289,0.284064096,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6781,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,15.5521,31.0973,11.78386688,1.319778996,1.34004906,32.4483,31.7932,11.4586372,1.37184907,-0.03040123,-0.020380713,-0.29482845,-0.197871443,0.2740831,0.183742886,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6782,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,16.6571,31.9322,10.88465309,1.530328974,1.550625842,33.7292,32.3707,10.3173895,1.57050095,-0.068870544,-0.046170197,-0.498393046,-0.334491977,0.1906214,0.127790867,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6783,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,10.0269,25.3482,10.39091206,0.964968229,0.990231409,27.0253,25.2333,9.7723045,1.023269601,-0.07722187,-0.051768852,-0.54138569,-0.363346101,0.3202085,0.214664949,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6784,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,14.5809,30.0102,12.694273,1.148620327,1.17063714,32.5288,30.9142,12.1918459,1.216040088,-0.08438015,-0.056567698,-0.41804695,-0.280568423,0.7186174,0.481754708,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,6785,SUCCESSFULLY RECOVERED,11/22/2021,5/19/2023,1.49,O. faveolata,5x2x1,16.826,32.0471,11.24819756,1.495884111,1.512668188,33.2888,32.4142,10.6546783,1.55820594,-0.084843636,-0.056878415,-0.508675624,-0.341393036,0.1829052,0.122618009,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6901,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,19.3842,34.6595,12.64025116,1.533529655,1.556511462,35.9557,34.7091,11.87452126,1.595831824,-0.051541328,-0.038817737,-0.714188572,-0.536983889,0.184149742,0.138690182,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6902,NOT RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,17.1945,32.4205,11.60682392,1.481413013,1.511257043,,,,,,,-11.60682392,-8.726935278,,,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6903,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,17.8185,32.6675,11.83301354,1.505829428,1.533228003,34.1502,33.0745,11.01229191,1.581703479,-0.103932381,-0.078275433,-0.716789249,-0.538939285,0.546441078,0.411545582,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6904,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,17.7948,33.069,12.49669933,1.423960001,1.463994824,33.9985,32.6358,11.31455326,1.504578467,-0.085075378,-0.064073506,-1.097070692,-0.824865182,0.17815876,0.134178146,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6905,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,15.4623,30.5615,9.652476311,1.601899813,1.61962511,31.6703,30.7947,8.96657753,1.659165161,-0.090319633,-0.068023155,-0.595579148,-0.447803871,0.37114048,0.279520027,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6906,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,13.2988,28.6449,11.05652905,1.202800621,1.218701984,29.0965,27.9526,9.135603905,1.336322034,-0.37114048,-0.279520027,-1.549784665,-1.165251628,0.35847187,0.269978814,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6907,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,18.3376,33.5426,12.28518677,1.49265944,1.508190479,34.4133,33.652,11.76878643,1.53696597,-0.040752411,-0.030692192,-0.475647929,-0.357630022,0.166442871,0.125354464,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6908,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,19.2592,34.4666,12.03667259,1.600043521,1.60753562,35.1553,34.3422,11.4881115,1.64241173,-0.090371132,-0.06806194,-0.458189958,-0.344503728,0.146598816,0.11040915,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6909,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,15.8671,30.918,10.91596413,1.453568353,1.447428992,32.0371,30.8173,10.06768227,1.51045452,-0.117107391,-0.088198035,-0.731174469,-0.54975524,0.203882217,0.153551461,
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,6910,SUCCESSFULLY RECOVERED,3/22/2022,7/20/2023,1.33,O. faveolata,5x2x1,15.8834,31.2696,11.76465797,1.350094498,1.365645203,30.4898,29.6667,9.529772758,1.4545458,-0.275619507,-0.207579545,-1.959265705,-1.473132109,0.265800476,0.200184459,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6911,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,17.0747,32.4078,11.35008717,1.504367301,1.529506641,33.2946,32.0636,10.0831661,1.58258625,-0.106490135,-0.088332831,-1.160430935,-0.959033831,0.3523006,0.292230949,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6912,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,18.5372,33.8218,11.504385,1.611316034,1.613016931,33.3133,32.4822,9.7871017,1.67426595,-0.108206749,-0.08975675,-1.609076551,-1.329815331,0.2897644,0.24035757,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6913,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,15.9799,31.1899,11.50350952,1.389132592,1.398987829,31.6498,30.8527,10.3220844,1.44328205,-0.249518395,-0.206973784,-0.931906725,-0.770170847,0.2703409,0.224245924,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6914,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,14.6723,29.7502,11.13436031,1.317749703,1.348212365,30.4273,29.3145,9.628006,1.40395332,-0.368814468,-0.305929052,-1.137539842,-0.940115572,0.2300005,0.190783822,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6915,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,15.391,30.673,10.59515476,1.452645133,1.46614126,31.3312,30.4232,9.5655127,1.5146215,-0.246806145,-0.204723991,-0.782835915,-0.646971831,0.3070593,0.254703557,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6916,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,16.0599,31.2715,11.77176476,1.364272931,1.376013098,31.8198,30.5736,10.0471258,1.44425316,-0.782552719,-0.649122071,-0.942086241,-0.77858367,0.4199266,0.348326248,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,6917,SUCCESSFULLY RECOVERED,5/7/2022,7/21/2023,1.21,O. faveolata,5x2x1,14.7368,29.8971,12.03309345,1.224689234,1.243307684,33.0669,30.2497,10.8155336,1.299401873,-0.373054504,-0.309446133,-0.844505346,-0.697938302,0.5972443,0.495409988,
