"basin","region","subRegion","siteName","latitude","longitude","depth","intrumentType","projectCode","tagNum","fate","dateDeployment","dateRecovery","duration","species","massBlockPre","massEpoxiedPre","volumeBlockPre","densityRWPre","densityHUPre","densityCTPre","massDirtyPost","massCleanPost","volumeBlockPost","densityHUPost","densityCTPost","macroboring","grazing","accretion","machinePre","machinePost","carbEQPost","sa","notes","instrument","daysDeployed","yearsDeployed","loc1","loc2","loc3","loc1.2","deltaMass_mgcm2y","deltaMass_kgm2y","deltaVolume_mm3cm2y","deltaDensity_mgcm3cm2y","macroboring_mm3cm2y","accretion_mm3cm2y","grazing_mm3cm2y"
"atlantic","FLK","middle","MKO1",24.63127,-81.09255,6,"BMU","BMUQuest",3593,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.2559,33.8771,11.85775852,1.370908336,NA,1.38857733,42.5281,41.3105,10.90095234,NA,1.51844916,-0.14658165,-0.810224530000001,4.34292984,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",82.2179090909091,0.822179090909091,37.4525798757576,1.43646115,-1.62128188636364,48.0354361090909,-8.96157434696971
"atlantic","FLK","middle","MKI2",24.68988,-81.0294,5,"BMU","BMUQuest",3702,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",15.0779,32.568,10.2298851,1.473907073,NA,1.47424557,23.6809,22.9211,3.321407318,NA,1.52145713,-0.683907509,-6.224570273,0.236291885,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-106.700560606061,-1.06700560606061,-73.7984197698485,0.522188466666667,-7.56443153893939,2.61353145530303,-68.8475196862121
"atlantic","FLK","middle","MKI2",24.68988,-81.0294,5,"BMU","BMUQuest",3703,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",12.6485,29.7994,10.50635433,1.203890484,NA,1.193003966,25.3156,24.5745,5.689433098,NA,1.307170403,-0.492247582,-4.32467365,0.403069496,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-57.7905606060606,-0.577905606060606,-48.8198752618182,1.262749985,-5.44455658878788,4.45819291030303,-47.8335115833333
"atlantic","FLK","middle","MKI1",24.68554,-81.04336,3.5,"BMU","BMUQuest",3717,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.0341,33.7228,10.94313812,1.465219558,NA,1.46246408,37.0676,35.996,9.704875946,NA,1.52352718,-0.212216377,-1.026045797,2.382925987,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",25.1429696969697,0.251429696969697,12.6606755074242,0.675394893939396,-2.34724174560606,26.3566056137879,-11.3486883607576
"atlantic","FLK","middle","MKI2",24.68988,-81.0294,5,"BMU","BMUQuest",3718,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",12.6755,29.8778,10.43062592,1.215219499,NA,1.208260116,21.1828,20.518,2.405302048,NA,1.33441756,-0.361046791,-7.664277081,0.050228119,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-103.525060606061,-1.03525060606061,-88.2093924195455,1.39537778969697,-3.99339632469697,0.555553437424242,-84.7715495322727
"atlantic","FLK","middle","MKI1",24.68554,-81.04336,3.5,"BMU","BMUQuest",3719,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",17.5907,34.7168,10.5890522,1.661215722,NA,1.64100104,35.4652,34.5514,8.879605293,NA,1.71745699,-0.167078018,-1.542368889,1.29569149,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-1.82942424242422,-0.0182942424242422,-4.5763856728788,0.845649143939396,-1.84798413848485,14.3311331469697,-17.0595346813636
"atlantic","FLK","middle","MKO1",24.63127,-81.09255,6,"BMU","BMUQuest",3722,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",18.8432,35.9795,12.87258625,1.463823946,NA,1.47403725,44.6794,43.0427,11.68141079,NA,1.58524835,-0.045833588,-1.145341872,4.05150032,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",78.1232727272727,0.781232727272728,31.6369264818182,1.23006216666667,-0.506947261212121,44.8120489939394,-12.6681752509091
"atlantic","FLK","middle","MKO2",24.63388,-81.08344,5,"BMU","BMUQuest",3723,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",12.3131,29.808,11.58400154,1.062940121,NA,1.085622328,32.8144,31.8722,8.482801437,NA,1.233486135,-0.585983276,-2.515216827,2.58738327,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",22.831303030303,0.22831303030303,-5.68312557712121,1.63546331984848,-6.48133017393939,28.6180270772727,-27.8198224804545
"atlantic","FLK","middle","MKO1",24.63127,-81.09255,6,"BMU","BMUQuest",3725,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",12.3858,29.7411,12.02451897,1.030045362,NA,1.034876213,23.5911,22.8529,2.728694916,NA,1.217597098,-0.29758358,-8.998240474,1.196574211,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",-76.1876666666666,-0.761876666666666,-89.5826118998485,2.0210037280303,-3.29145474848485,13.2348359701515,-99.5259931215151
"atlantic","FLK","middle","MKO1",24.63127,-81.09255,6,"BMU","BMUQuest",3728,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.1516,33.2995,11.83630943,1.36458075,NA,1.37787811,37.0654,35.6697,9.500178337,NA,1.53041847,-0.156229019,-2.179902074,2.355949402,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",26.2158484848485,0.262158484848485,0.21920250863636,1.68718883030303,-1.72798763439394,26.0582282342424,-24.1110380912121
