basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,upper,inshore,1497,2022,24.94912,-80.538,24.94912,-80.538,24.94912,-80.538,0,56.49717514,-56.49717514,0,0.013451073,-0.013451073,0
atlantic,FLK,FLK,upper,inshore,1514,2018,24.94523,-80.55161,24.94523,-80.55161,24.94523,-80.55161,75.73863636,75.31073446,0.4279019,0.436217826,0.021740395,0.414477431,0
atlantic,FLK,FLK,upper,inshore,1520,2022,24.90091,-80.61759,24.90091,-80.61759,24.90091,-80.61759,1278.409091,1384.180791,-105.7717,816.2895267,1007.393053,-191.1035263,2.001102988
atlantic,FLK,FLK,upper,inshore,1521,2022,24.90029,-80.61704,24.90029,-80.61704,24.90029,-80.61704,710.2272727,1638.418079,-928.1908063,22.2394124,24.40683045,-2.16741805,0.264945839
atlantic,FLK,FLK,upper,inshore,1556,2022,24.90235,-80.6206,24.90235,-80.6206,24.90235,-80.6206,0,0,0,0,0,0,0
atlantic,FLK,FLK,upper,inshore,1557,2018,24.938205,-80.54977,24.93833,-80.54983,24.93833,-80.54983,198.8636364,169.4915254,29.372111,21.61179234,0.640833107,20.97095923,0.051122017
atlantic,FLK,FLK,upper,inshore,1557,2018,24.938205,-80.54977,24.93808,-80.54971,24.93808,-80.54971,198.8636364,395.480226,-196.6165896,21.61179234,49.48384119,-27.87204885,0.051122017
atlantic,FLK,FLK,upper,offshore,1682,2022,24.90454,-80.53295,24.90454,-80.53295,24.90454,-80.53295,852.2727273,847.4576271,4.8151002,181.3365019,204.0865004,-22.7499985,0.4419255
atlantic,FLK,FLK,upper,inshore,9013,2022,24.90357,-80.61605,24.90357,-80.61605,24.90357,-80.61605,482.9545455,1892.655367,-1409.700822,48.26178893,70.57445418,-22.31266525,0.848642785
atlantic,FLK,FLK,upper,inshore,9018,2022,24.89723,-80.62202,24.89723,-80.62202,24.89723,-80.62202,340.9090909,4632.768362,-4291.859271,16.25920521,79.76424475,-63.50503954,0.00532181
atlantic,FLK,FLK,upper,inshore,9020,2022,24.89815,-80.61774,24.89815,-80.61774,24.89815,-80.61774,596.5909091,1440.677966,-844.0870569,14.22728822,10.50856429,3.71872393,0.209385866
atlantic,FLK,FLK,upper,inshore,9112,2022,24.90447,-80.61357,24.90447,-80.61357,24.90447,-80.61357,1676.136364,3107.344633,-1431.208269,112.6607208,113.0595662,-0.3988454,0.100508842
