basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,fxnGroup,density_ind_m2,biomass_g_m2,density_ind_PSU,biomass_kg_PSU,density_ind_ha,biomass_kg_ha
atlantic,FGB,east,,eastBank,2022,9066,27.9107,-93.59916,27.9107,-93.59916,,HR,excavator,,,2.5,1.098022544,141.2429379,62.03517198
atlantic,FGB,east,,eastBank,2022,9066,27.9107,-93.59916,27.9107,-93.59916,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2022,9068,27.90873,-93.59863,27.90873,-93.59863,,HR,excavator,,,3.5,1.569784299,197.740113,88.68837847
atlantic,FGB,east,,eastBank,2022,9068,27.90873,-93.59863,27.90873,-93.59863,,HR,scraper,,,0.5,0.00110625,28.24858757,0.0625
atlantic,FGB,east,,eastBank,2022,9069,27.90922,-93.59868,27.90922,-93.59868,,HR,excavator,,,3.5,1.753137908,197.740113,99.04733944
atlantic,FGB,east,,eastBank,2022,9069,27.90922,-93.59868,27.90922,-93.59868,,HR,scraper,,,0.5,0.0000708,28.24858757,0.004
atlantic,FGB,east,,eastBank,2022,9070,27.9094,-93.5985,27.9094,-93.5985,,HR,excavator,,,4,2.843834058,225.9887006,160.6685908
atlantic,FGB,east,,eastBank,2022,9070,27.9094,-93.5985,27.9094,-93.5985,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2022,9071,27.91053,-93.59882,27.91053,-93.59882,,HR,excavator,,,3,1.075030172,169.4915254,60.73616791
atlantic,FGB,east,,eastBank,2022,9071,27.91053,-93.59882,27.91053,-93.59882,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2022,9074,27.90453,-93.59774,27.90453,-93.59774,,HR,excavator,,,3.5,1.915535448,197.740113,108.2223417
atlantic,FGB,east,,eastBank,2022,9074,27.90453,-93.59774,27.90453,-93.59774,,HR,scraper,,,2,0.09206655,112.9943503,5.2015
atlantic,FGB,east,,eastBank,2022,9075,27.90626,-93.59783,27.90626,-93.59783,,HR,excavator,,,2.5,1.156651186,141.2429379,65.34752463
atlantic,FGB,east,,eastBank,2022,9075,27.90626,-93.59783,27.90626,-93.59783,,HR,scraper,,,2,0.012814459,112.9943503,0.723980734
atlantic,FGB,east,,eastBank,2022,9076,27.90853,-93.59795,27.90853,-93.59795,,HR,excavator,,,1.5,1.563806162,84.74576271,88.35063062
atlantic,FGB,east,,eastBank,2022,9076,27.90853,-93.59795,27.90853,-93.59795,,HR,scraper,,,0.5,0.01944345,28.24858757,1.0985
atlantic,FGB,east,,eastBank,2022,9081,27.9099,-93.5971,27.9099,-93.5971,,HR,excavator,,,1.5,1.279906275,84.74576271,72.31108898
atlantic,FGB,east,,eastBank,2022,9081,27.9099,-93.5971,27.9099,-93.5971,,HR,scraper,,,4,0.001856456,225.9887006,0.10488452
atlantic,FGB,east,,eastBank,2022,9082,27.90511,-93.59661,27.90511,-93.59661,,HR,excavator,,,1,0.416262902,56.49717514,23.51767808
atlantic,FGB,east,,eastBank,2022,9082,27.90511,-93.59661,27.90511,-93.59661,,HR,scraper,,,2,0.199676213,112.9943503,11.28114198
atlantic,FGB,east,,eastBank,2022,9087,27.90502,-93.59593,27.90502,-93.59593,,LR,excavator,,,1.5,0.686275992,84.74576271,38.77265492
atlantic,FGB,east,,eastBank,2022,9087,27.90502,-93.59593,27.90502,-93.59593,,LR,scraper,,,3,0.50737935,169.4915254,28.6655
atlantic,FLK,lower,,inshore,2022,1037,24.57847,-81.43934,24.57847,-81.43934,,ISOL_HR,excavator,,,4.5,0.123814209,254.2372881,6.995153051
atlantic,FLK,lower,,inshore,2022,1037,24.57847,-81.43934,24.57847,-81.43934,,ISOL_HR,scraper,,,29.5,0.583274769,1666.666667,32.95337678
atlantic,FLK,lower,,inshore,2022,1055,24.55509,-81.56663,24.55509,-81.56663,,ISOL_HR,excavator,,,0.5,0.010444587,28.24858757,0.590089661
atlantic,FLK,lower,,inshore,2022,1055,24.55509,-81.56663,24.55509,-81.56663,,ISOL_HR,scraper,,,8.5,0.01789542,480.2259887,1.011040678
atlantic,FLK,lower,,inshore,2022,1063,24.5775,-81.4438,24.5775,-81.4438,,CONT_HR,excavator,,,4,0.117166803,225.9887006,6.61959339
atlantic,FLK,lower,,inshore,2022,1063,24.5775,-81.4438,24.5775,-81.4438,,CONT_HR,scraper,,,14,0.080903422,790.960452,4.570814802
atlantic,FLK,lower,,offshore,2022,1084,24.55588,-81.43408,24.55588,-81.43408,,ISOL_LR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1084,24.55588,-81.43408,24.55588,-81.43408,,ISOL_LR,scraper,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1087,24.52081,-81.59098,24.52081,-81.59098,,CONT_MR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1087,24.52081,-81.59098,24.52081,-81.59098,,CONT_MR,scraper,,,5.5,0.02313117,310.7344633,1.306845763
atlantic,FLK,lower,,offshore,2022,1089,24.50689,-81.59154,24.50689,-81.59154,,RUBB_MR,excavator,,,1,1.086702273,56.49717514,61.39560864
atlantic,FLK,lower,,offshore,2022,1089,24.50689,-81.59154,24.50689,-81.59154,,RUBB_MR,scraper,,,3,0.00238242,169.4915254,0.1346
atlantic,FLK,lower,,offshore,2022,1095,24.54847,-81.4527,24.54847,-81.4527,,CONT_MR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1095,24.54847,-81.4527,24.54847,-81.4527,,CONT_MR,scraper,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1097,24.52027,-81.59045,24.52027,-81.59045,,CONT_MR,excavator,,,3,0.488544249,169.4915254,27.60137
atlantic,FLK,lower,,offshore,2022,1097,24.52027,-81.59045,24.52027,-81.59045,,CONT_MR,scraper,,,4.5,0.178414471,254.2372881,10.07991362
atlantic,FLK,lower,,offshore,2022,1166,24.51023,-81.5676,24.51023,-81.5676,,CONT_MR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1166,24.51023,-81.5676,24.51023,-81.5676,,CONT_MR,scraper,,,1,0.004043303,56.49717514,0.228435198
atlantic,FLK,lower,,offshore,2022,1168,24.51019,-81.56821,24.51019,-81.56821,,CONT_LR,excavator,,,0.5,0.312346329,28.24858757,17.64668525
atlantic,FLK,lower,,offshore,2022,1168,24.51019,-81.56821,24.51019,-81.56821,,CONT_LR,scraper,,,6.5,0.046509214,367.2316384,2.627639209
atlantic,FLK,lower,,offshore,2022,1170,24.55312,-81.43715,24.55312,-81.43715,,CONT_MR,excavator,,,0.5,0.068114885,28.24858757,3.848298588
atlantic,FLK,lower,,offshore,2022,1170,24.55312,-81.43715,24.55312,-81.43715,,CONT_MR,scraper,,,29.5,4.709434032,1666.666667,266.0697193
atlantic,FLK,lower,,offshore,2022,1231,24.53316,-81.4674,24.53316,-81.4674,,SPGR_MR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2022,1231,24.53316,-81.4674,24.53316,-81.4674,,SPGR_MR,scraper,,,5.5,0.015215046,310.7344633,0.859607119
atlantic,FLK,lower,,inshore,2022,1369,24.55046,-81.70069,24.55046,-81.70069,,ISOL_HR,excavator,,,5,4.35451677,282.4858757,246.0178966
atlantic,FLK,lower,,inshore,2022,1369,24.55046,-81.70069,24.55046,-81.70069,,ISOL_HR,scraper,,,22.5,0.155928839,1271.186441,8.809538927
atlantic,FLK,lower,,inshore,2022,1849,24.55269,-81.70299,24.55269,-81.70299,,ISOL_LR,excavator,,,0,0,0,0
atlantic,FLK,lower,,inshore,2022,1849,24.55269,-81.70299,24.55269,-81.70299,,ISOL_LR,scraper,,,0.5,0.00000832,28.24858757,0.000470056
atlantic,FLK,lower,,inshore,2018,1002U,24.5679043,-81.65905089,24.5679043,-81.65905089,,ISOL_LR,excavator,,,0,0,0,0
atlantic,FLK,lower,,inshore,2018,1002U,24.5679043,-81.65905089,24.5679043,-81.65905089,,ISOL_LR,scraper,,,2.5,0.005814391,141.2429379,0.328496667
atlantic,FLK,lower,,inshore,2018,1008U,24.55260118,-81.68615984,24.55260118,-81.68615984,,ISOL_LR,excavator,,,1.25,2.449032397,70.62146893,138.3634123
atlantic,FLK,lower,,inshore,2018,1008U,24.55260118,-81.68615984,24.55260118,-81.68615984,,ISOL_LR,scraper,,,12.25,0.025354086,692.0903955,1.432434237
atlantic,FLK,lower,,inshore,2018,1009U,24.55058022,-81.69836871,24.55058022,-81.69836871,,ISOL_LR,excavator,,,0,0,0,0
atlantic,FLK,lower,,inshore,2018,1009U,24.55058022,-81.69836871,24.55058022,-81.69836871,,ISOL_LR,scraper,,,9.25,0.045836374,522.5988701,2.58962565
atlantic,FLK,lower,,inshore,2018,1034U,24.57757575,-81.43966258,24.57757575,-81.43966258,,ISOL_MR,excavator,,,0.5,0.16307216,28.24858757,9.213116384
atlantic,FLK,lower,,inshore,2018,1034U,24.57757575,-81.43966258,24.57757575,-81.43966258,,ISOL_MR,scraper,,,6,0.079925605,338.9830508,4.515570904
atlantic,FLK,lower,,inshore,2018,1036U,24.56209522,-81.55650754,24.56209522,-81.55650754,,ISOL_MR,excavator,,,5.5,0.990975888,310.7344633,55.98733831
atlantic,FLK,lower,,inshore,2018,1036U,24.56209522,-81.55650754,24.56209522,-81.55650754,,ISOL_MR,scraper,,,6.25,0.208430771,353.1073446,11.77574977
atlantic,FLK,lower,,offshore,2018,1174U,24.54304129,-81.44363313,24.54304129,-81.44363313,,CONT_MR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2018,1174U,24.54304129,-81.44363313,24.54304129,-81.44363313,,CONT_MR,scraper,,,0,0,0,0
atlantic,FLK,lower,,offshore,2018,1176U,24.55160517,-81.43135404,24.55160517,-81.43135404,,CONT_LR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2018,1176U,24.55160517,-81.43135404,24.55160517,-81.43135404,,CONT_LR,scraper,,,10.75,0.022638413,607.3446328,1.279006384
atlantic,FLK,lower,,offshore,2018,1231U,24.53820555,-81.45357891,24.53820555,-81.45357891,,SPGR_LR,excavator,,,0,0,0,0
atlantic,FLK,lower,,offshore,2018,1231U,24.53820555,-81.45357891,24.53820555,-81.45357891,,SPGR_LR,scraper,,,5.75,0.182465825,324.8587571,10.30880367
atlantic,FLK,lower,,offshore,2018,1261U,24.50559126,-81.58700013,24.50559126,-81.58700013,,SPGR_HR,excavator,,,0.25,0.345638204,14.12429379,19.52758215
