basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,habitatFishSurvey,excavatorDensity,excavatorBiomass,excavatorBioerosion,scraperDensity,scraperBiomass,scraperBioerosion,totalDensity,totalBiomass,totalBioerosion
atlantic,FGB,east,NA,East Buoy 3,2022,9061,27.9116,-93.5995,27.9116,-93.5995,HR,197.740113,80.16874887,1.394608068,508.4745763,93.23778123,0.674996382,706.2146893,173.4065301,2.06960445
atlantic,FGB,east,NA,East Buoy 3,2022,9064,27.90683,-93.5991,27.90683,-93.5991,HR,112.9943503,53.10593996,1.114546532,338.9830508,68.28272656,0.537712898,451.9774011,121.3886665,1.65225943
atlantic,FGB,east,NA,East Buoy 3,2022,9065,27.90873,-93.599,27.90873,-93.599,HR,225.9887006,125.1496241,2.788669943,310.7344633,77.78017994,0.679982171,536.7231638,202.9298041,3.468652114
atlantic,FGB,east,NA,East Buoy 3,2022,9066,27.9107,-93.59916,27.9107,-93.59916,HR,141.2429379,52.11076379,1.090816617,254.2372881,39.08449919,0.231529802,395.480226,91.19526298,1.322346419
atlantic,FGB,east,NA,East Buoy 3,2022,9068,27.90873,-93.59863,27.90873,-93.59863,HR,197.740113,74.65144131,1.51786487,423.7288136,62.89136587,0.506054476,621.4689266,137.5428072,2.023919345
atlantic,FGB,east,NA,East Buoy 3,2022,9069,27.90922,-93.59868,27.90922,-93.59868,HR,197.740113,85.32163889,1.237803334,395.480226,42.8242318,0.235514359,593.220339,128.1458707,1.473317693
atlantic,FGB,east,NA,East Buoy 3,2022,9070,27.9094,-93.5985,27.9094,-93.5985,HR,225.9887006,136.1696182,2.864466914,282.4858757,76.52837849,0.642123459,508.4745763,212.6979967,3.506590374
atlantic,FGB,east,NA,East Buoy 3,2022,9071,27.91053,-93.59882,27.91053,-93.59882,HR,169.4915254,51.17729412,0.986380722,310.7344633,74.11452384,0.540258105,480.2259887,125.291818,1.526638826
atlantic,FGB,east,NA,East Buoy 3,2022,9074,27.90453,-93.59774,27.90453,-93.59774,HR,197.740113,91.08604855,1.977914862,197.740113,14.79158797,0.101116789,395.480226,105.8776365,2.079031651
atlantic,FGB,east,NA,East Buoy 3,2022,9075,27.90626,-93.59783,27.90626,-93.59783,HR,141.2429379,54.44859257,0.811301274,367.2316384,37.96044044,0.332726879,508.4745763,92.40903301,1.144028152
atlantic,FGB,east,NA,East Buoy 3,2022,9076,27.90853,-93.59795,27.90853,-93.59795,HR,84.74576271,75.30754365,1.294534989,141.2429379,43.94593422,0.410624506,225.9887006,119.2534779,1.705159495
